congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,139,0.9784172661870504,0.95492395,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,44,1,0.97343769,63
0,house,A000367,Amash,MI,3,Independent,138,0.6231884057971014,0.77535023,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,I,42,0.8095238095238095,0.61069817,9.4
0,house,A000369,Amodei,NV,2,Republican,138,0.9782608695652174,0.82528675,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,44,0.9545454545454546,0.71581944,12.3
0,house,A000370,Adams,NC,12,Democrat,136,0.125,0.14871633,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,44,0.022727272727272728,0.03356807,-40
0,house,A000371,Aguilar,CA,31,Democrat,139,0.2014388489208633,0.22785298,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,45,0.044444444444444446,0.04817794,-21.1
0,house,A000372,Allen,GA,12,Republican,140,0.9642857142857143,0.88008786,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,45,0.9555555555555556,0.82582946,16.2
0,house,A000374,Abraham,LA,5,Republican,118,0.9322033898305084,0.94110439,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,22,0.9545454545454546,0.92044209,29.4
0,house,A000375,Arrington,TX,19,Republican,140,0.9642857142857143,0.95613343,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,45,0.9555555555555556,0.9699049,49
0,house,A000376,Allred,TX,32,Democrat,44,0.045454545454545456,0.1846773,-1.9
116,house,A000376,Allred,TX,32,D,44,0.045454545454545456,0.1846773,-1.9
0,house,A000377,Armstrong,ND,0,Republican,44,0.9318181818181818,0.9583018,35.72888837
116,house,A000377,Armstrong,ND,0,R,44,0.9318181818181818,0.9583018,35.72888837
0,house,A000378,Axne,IA,3,Democrat,45,0.044444444444444446,0.35216012,3.5
116,house,A000378,Axne,IA,3,D,45,0.044444444444444446,0.35216012,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.9239130434782609,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.9239130434782609,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,138,0.3188405797101449,0.3283038,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.45161290322580644,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,45,0.044444444444444446,0.07414724,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,135,0.1259259259259259,0.1389337,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.17582417582417584,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,44,0.022727272727272728,0.0302228,-48.2
0,house,B000755,Brady,TX,8,Republican,140,0.9928571428571429,0.95626743,48.8
115,house,B000755,Brady,TX,8,R,96,0.9895833333333334,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,44,1,0.96957928,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.17204301075268819,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.17204301075268819,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.9195402298850575,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,138,0.9565217391304348,0.93895671,26.5
115,house,B001248,Burgess,TX,26,R,94,0.9574468085106383,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,44,0.9545454545454546,0.9344299,26.5
0,house,B001250,Bishop,UT,1,Republican,136,0.9632352941176471,0.94144041999999994,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,43,0.9767441860465116,0.93992683,27.3
0,house,B001251,Butterfield,NC,1,Democrat,139,0.1510791366906475,0.15696173,-37
115,house,B001251,Butterfield,NC,1,D,94,0.2127659574468085,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,45,0.022222222222222223,0.03428213,-37
0,house,B001257,Bilirakis,FL,12,Republican,140,0.9642857142857143,0.90489885,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.9789473684210527,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,45,0.9333333333333333,0.86913039,18.6
0,house,B001260,Buchanan,FL,16,Republican,135,0.9333333333333333,0.79332283,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.9666666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,45,0.8666666666666667,0.65858798,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.9782608695652174,0.93672465,23.8
